objectid,id,nombre_est,rue,respaldo_i,origen_alt,url_ficha,altura,cod_com,uuid,longitud,latitud,altura
78,57,Las Gaviotas,50510304,"SSVQ Nro306 28 enero 2004
SSVQ Nro0207 SAG 408 23 julio 2002
SSVQ Nro50 SAG Nro0037 31 enero 2000",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=57,50,05107,5798c0ec-a22d-4923-a286-4c617b92994a,-71.48148140799998,-32.915616255999964,50
79,52,Valle Alegre,50510507,"SSVQ Nro2005 SAG 115 29 abril 1992
SSVQ Nro3474 SAG 206 23 julio 1992
SSVQ Nro 2161 18 julio 1995
SSVQ Nro53 SAG Nø0040 31 enero 2000
SSVQ Nro1924 29 agosto 2000
SSVQ Nro305 28",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=52,52,05107,5798c0ec-a22d-4923-a286-4c617b92994a,-71.48073969199999,-32.79693010799997,52
80,51,Sur,50510506,"SSVQ Nro2005 SAG 115 29 abril 199
SSVQ Nro3474 SAG 206 23 julio 1992
SSVQ Nro2161 18 julio 1995",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=51,52,05107,5798c0ec-a22d-4923-a286-4c617b92994a,-71.48073969199999,-32.79693010799997,52
81,157,Viña del Mar,0,"Res. Nº4300 ( EMRP) y Res. Nº4301 (EMRPG ), agosto de 2005",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=157,51,05109,5798c0ec-a22d-4923-a286-4c617b92994a,-71.55030980499998,-33.02027619399996,51
82,18,Los Andes,0,"Res Nº 549 EMRP, 17 de marzo de 2008",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=18,870,05301,5798c0ec-a22d-4923-a286-4c617b92994a,-70.59215259099994,-32.84424380699994,870
83,73,Hospital CabildoHos,50540201,SSVQ Nro2963 5 diciembre 2000,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=73,350,05402,5798c0ec-a22d-4923-a286-4c617b92994a,-71.06556096599996,-32.425920417999976,350
84,60,San Pedro,50550102,"SSVQ Nro307 28 enero 2004
Resolución Exenta Nº 5415 del 5 de Diciembre de 2006 (EMRP",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=60,137,05501,5798c0ec-a22d-4923-a286-4c617b92994a,-71.27375165799998,-32.937090755999975,137
85,63,La Palma,0,SSVQ Nro307 28 enero 2004,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=63,112,05501,5798c0ec-a22d-4923-a286-4c617b92994a,-71.20866871099997,-32.891907438999965,112
86,62,Manzanar,0,SSVQ Nro0234 15 de febrero de 2008,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=62,105,05501,5798c0ec-a22d-4923-a286-4c617b92994a,-71.37222462699998,-32.91329311099997,105
87,59,Cuerpo de Bomberos Quillota,50550101,SSVQ Nro307 28 enero 2004,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=59,102,05501,5798c0ec-a22d-4923-a286-4c617b92994a,-71.24681734899997,-32.88519468199996,102
